The default version of TensorFlow in Colab will soon switch to TensorFlow 2.x.
We recommend you upgrade now or ensure your notebook will continue to use TensorFlow 1.x via the %tensorflow_version 1.x magic: more info.

{
  "gpu": 0,
  "batchsize": 64,
  "model": "models",
  "input": "../datasets/rt-polarity/04-test.txt",
  "init_checkpoint": "../../BERT/uncased_L-12_H-768_A-12/arrays_bert_model.ckpt.npz",
  "bert_config_file": "../../BERT/uncased_L-12_H-768_A-12/bert_config.json",
  "vocab_file": "../../BERT/uncased_L-12_H-768_A-12/vocab.txt",
  "K": 10,
  "max_length": null,
  "out": "results_bert-rt-all",
  "noplot": false
}
WARNING:tensorflow:From /content/drive/My Drive/Colab Notebooks/kenkyu/191118_clustering/bertlib/tokenization.py:74: The name tf.gfile.GFile is deprecated. Please use tf.io.gfile.GFile instead.

2019-11-18 23:45:51,002 - load_data - INFO - Loading dataset ... done.
# source: 1066, id: 2, {'0': 0, '1': 1}
# vocab: 30522
# K: 10
# K: 10
cluster_id	source_id
7	0
6	0
2	0
8	0
0	0
0	0
3	0
6	0
7	0
2	0
0	0
7	0
6	0
1	0
6	0
0	0
6	0
2	0
1	0
8	0
2	0
6	0
9	0
9	0
8	0
0	0
2	0
8	0
1	0
1	0
6	0
2	0
7	0
2	0
9	0
8	0
8	0
7	0
7	0
0	0
5	0
6	0
5	0
1	0
6	0
1	0
3	0
9	0
5	0
8	0
8	0
7	0
2	0
1	0
2	0
6	0
2	0
1	0
8	0
6	0
6	0
6	0
6	0
6	0
6	0
0	0
8	0
8	0
5	0
5	0
8	0
9	0
9	0
7	0
3	0
0	0
5	0
8	0
3	0
0	0
2	0
7	0
7	0
5	0
6	0
9	0
9	0
6	0
8	0
7	0
6	0
4	0
2	0
6	0
8	0
0	0
3	0
8	0
1	0
2	0
1	0
8	0
6	0
1	0
0	0
7	0
3	0
6	0
5	0
5	0
8	0
6	0
6	0
0	0
7	0
4	0
5	0
7	0
6	0
2	0
0	0
8	0
7	0
7	0
2	0
8	0
5	0
1	0
1	0
9	0
9	0
3	0
5	0
0	0
0	0
2	0
0	0
2	0
5	0
7	0
3	0
9	0
3	0
0	0
6	0
0	0
7	0
1	0
7	0
8	0
7	0
2	0
2	0
0	0
8	0
9	0
2	0
2	0
9	0
3	0
6	0
8	0
2	0
8	0
6	0
7	0
3	0
0	0
2	0
0	0
3	0
2	0
0	0
6	0
2	0
1	0
6	0
6	0
2	0
6	0
6	0
0	0
6	0
6	0
1	0
8	0
6	0
0	0
7	0
8	0
2	0
0	0
1	0
0	0
0	0
2	0
6	0
3	0
8	0
1	0
1	0
1	1
8	1
6	1
2	1
8	1
9	1
4	1
4	1
2	1
7	1
3	1
7	1
6	1
1	1
9	1
5	1
8	1
0	1
0	1
0	1
5	1
3	1
8	1
2	1
0	1
1	1
5	1
6	1
2	1
6	1
2	1
3	1
1	1
6	1
7	1
1	1
5	1
8	1
7	1
7	1
1	1
7	1
9	1
7	1
5	1
3	1
1	1
0	1
6	1
0	1
4	1
4	1
9	1
8	1
2	1
8	1
2	1
2	1
0	1
5	1
2	1
8	1
1	1
2	1
5	1
0	1
7	1
7	1
2	1
2	1
6	1
6	1
1	1
4	1
2	1
2	1
7	1
5	1
1	1
6	1
8	1
8	1
6	1
3	1
6	1
8	1
1	1
6	1
2	1
2	1
7	1
0	1
3	1
0	1
9	1
2	1
2	1
6	1
1	1
4	1
2	1
0	1
2	1
2	1
0	1
6	1
7	1
2	1
2	1
2	1
6	1
1	1
8	1
7	1
2	1
0	1
1	1
6	1
8	1
2	1
8	1
3	1
2	1
0	1
3	1
0	1
8	1
7	1
0	1
1	1
6	1
2	1
7	1
2	1
6	1
8	1
0	1
8	1
2	1
2	1
2	1
8	1
7	1
8	1
9	1
8	1
9	1
1	1
1	1
7	1
8	1
3	1
3	1
1	1
7	1
2	1
5	1
0	1
2	1
0	1
0	1
3	1
2	1
0	1
1	1
1	1
2	1
8	1
7	1
7	1
3	1
2	1
7	1
2	1
3	1
2	1
2	1
0	1
1	1
6	1
2	1
3	1
8	1
8	1
8	1
2	1
5	1
8	1
1	1
3	1
9	1
6	1
8	1
2	1
3	1
9	1
5	1
6	1
6	1
8	1
2	1
2	1
7	1
1	1
8	1
9	1
0	1
7	1
2	1
8	1
5	1
2	1
2	1
2	1
5	1
7	1
4	1
9	1
8	1
0	1
3	1
3	1
2	1
3	1
7	1
0	1
8	1
3	1
0	1
2	1
9	1
1	1
6	1
2	1
8	1
2	1
9	1
5	1
7	1
6	1
7	1
2	1
6	1
6	1
7	1
0	1
6	1
2	1
5	1
2	1
0	1
8	1
8	1
6	1
6	1
2	1
1	1
1	1
6	1
1	1
8	1
2	1
9	1
2	1
8	1
6	1
6	1
1	1
0	1
3	1
6	1
0	1
8	1
7	1
8	1
2	1
6	1
7	1
1	1
2	1
7	1
1	1
5	1
2	1
8	1
2	1
9	1
5	1
8	1
7	1
9	1
1	1
5	1
0	1
2	1
8	1
1	1
2	1
8	1
1	1
3	1
8	1
6	1
8	1
7	1
2	1
7	1
2	1
8	1
7	1
0	1
3	1
3	1
1	1
1	1
7	1
1	1
2	1
6	1
6	1
2	1
2	1
0	1
0	1
6	1
6	1
1	1
0	1
2	1
8	1
0	1
3	1
2	1
5	1
1	1
0	1
0	1
6	1
2	1
0	1
5	1
1	1
0	1
5	1
8	1
3	1
2	1
8	1
7	1
1	1
7	1
8	1
7	1
7	1
8	1
1	1
8	1
1	1
7	1
7	1
6	1
9	1
1	1
8	1
6	1
5	1
7	1
2	1
0	1
6	1
1	1
1	1
1	1
9	1
6	1
2	1
6	1
8	1
2	1
8	1
5	1
6	1
8	1
6	1
8	1
1	1
1	1
4	1
9	1
6	1
2	1
5	1
8	1
1	1
1	1
9	1
1	1
2	1
3	1
2	1
2	1
9	1
4	1
1	1
1	1
1	1
2	1
9	1
8	1
0	1
5	1
5	1
0	1
8	1
2	1
8	1
1	1
8	1
2	1
7	1
3	1
9	1
6	1
6	1
8	1
8	1
0	1
2	1
6	1
8	1
2	1
6	1
8	1
8	1
8	1
9	1
5	1
6	1
2	1
7	1
2	1
0	1
5	1
4	1
6	1
2	1
0	1
2	1
6	1
2	1
5	1
7	1
0	1
2	1
6	1
7	1
1	1
7	1
7	1
2	1
8	1
5	1
5	1
1	1
6	1
8	1
0	1
2	1
9	1
2	1
9	1
6	1
8	1
2	1
1	1
2	1
9	1
2	1
8	1
5	1
8	1
2	1
9	1
2	1
5	1
2	1
3	1
1	1
5	1
0	1
0	1
2	1
1	1
6	1
2	1
6	1
6	1
0	1
2	1
9	1
6	1
8	1
8	1
5	1
9	1
5	1
0	1
8	1
3	1
3	1
2	1
1	1
9	1
1	1
1	1
7	1
8	1
2	1
3	1
0	1
8	1
0	1
3	1
0	1
6	1
2	1
0	1
8	1
1	1
1	1
2	1
3	1
7	1
2019-11-18 23:46:13,172 - <module> - INFO - time spent: 24.594650 sec
